cluster_75_id	Dysp_0020	Dysp_0052	Dysp_0044	Dysp_0088	Dysp_0022	Dysp_0079	Dysp_0023	Dysp_0001	Dysp_0014	Dysp_0065	Dysp_0142	Dysp_0139	Dysp_0118	Dysp_0168	Dysp_0075	Dysp_0133	Dysp_0096	Dysp_0078	Dysp_0005	Dysp_0089	Dysp_0059	Dysp_0083	Dysp_0132	Dysp_0149	VMG_0018	VMG_0015	Dysp_0113	Dysp_0106	VMG_0039	Dysp_0119	Dysp_0123	VMG_0105	VMG_0011	Dysp_0111	VMG_0114	VMG_0116	Dysp_0136	VMG_0073	VMG_0013	VMG_0030	VMG_0001	VMG_0065	Dysp_0064	VMG_0055	VMG_0044	VMG_0109	VMG_0082	VMG_0009	VMG_0064	VMG_0096	Dysp_0017	Dysp_0130	VMG_0143	VMG_0132	Dysp_0112	Dysp_0070	VMG_0095	VMG_0077	VMG_0080	VMG_0020	VMG_0124	VMG_0005	VMG_0045	VMG_0049	VMG_0166	VMG_0121	VMG_0133	VMG_0051	VMG_0032	VMG_0088	VMG_0059	VMG_0008	VMG_0148	VMG_0043	VMG_0076	VMG_0068	VMG_0169	Dysp_0162	VMG_0175	VMG_0046	VMG_0167	VMG_0157	VMG_0103	Dysp_0082	VMG_0117	VMG_0085	Dysp_0060	VMG_0151	VMG_0056	VMG_0036	VMG_0061	Dysp_0028	VMG_0102	VMG_0025	VMG_0153	VMG_0047	Dysp_0110	VMG_0035	VMG_0074	Dysp_0033	VMG_0079	VMG_0029	VMG_0034	VMG_0150	VMG_0042	Dysp_0177	Dysp_0018	VMG_0149	VMG_0162	Dysp_0093	VMG_0173	VMG_0115	Dysp_0108	VMG_0111	VMG_0003	Dysp_0164	VMG_0128	Dysp_0097	VMG_0007	VMG_0087	Dysp_0016	VMG_0142	VMG_0075	VMG_0164	VMG_0144	VMG_0017	VMG_0147	VMG_0016	VMG_0163	Dysp_0080	VMG_0027	Dysp_0105	VMG_0098	VMG_0161	VMG_0026	VMG_0113	VMG_0050	VMG_0063	VMG_0135	Dysp_0127	Dysp_0087
P10709306.sbin.1_00495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMN00148052.sbin.4_00279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ERR10897696.sbin.1_01397	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
SAMN00148052.sbin.4_00288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ERR10897583.sbin.2_01031	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0
SRR12018813.sbin.2_00998	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0
ERR10897583.sbin.2_00392	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
ERR10897779.mbin.3_01848	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0
ERR10897795.mbin.1_00070	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ERR10898164.sbin.1_00599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MG1014.sbin.2_00879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR10897587.sbin.1_01217	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1
ERR10897595.sbin.1_01203	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	1
ERR10897679.sbin.1_01270	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
MG1136.sbin.1_00773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR10897599.sbin.5_01820	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0
ERR10897583.sbin.2_00186	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ERR4421592.sbin.1_01334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
MG1156.sbin.4_00813	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1
SRR19237611.mbin.1_00971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR10897572.mbin.3_00612	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
ERR10897749.sbin.6_00341	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0
ERR10897790.sbin.1_01043	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000165885.1_02196	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
SRR12018905.sbin.1_01559	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
ERR10897723.sbin.1_00507	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ERR10898183.sbin.3_01447	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG1210.sbin.3_01053	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMN00081536.sbin.2_01012	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ERR10897906.sbin.3_00149	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GCF_027156705.1_00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR10897587.sbin.1_00291	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1
ERR10897706.sbin.2_00155	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0
ERR10897836.sbin.4_01430	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ERR10897582.sbin.1_00710	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0
ERR10897587.sbin.1_00636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0
ERR10897583.sbin.2_00181	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ERR10898011.sbin.1_01944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
P10709306.sbin.1_01025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR10897836.sbin.4_01432	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
GCF_015708075.1_01396	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	1
ERR10898141.sbin.1_01103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SAMN00148052.sbin.4_00280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
